"","ADR","species","tag","month","year","tissue","stage","conc","method","biomass_kg","season","increment","wood"
"1165","2798","ACRU","102","March",2014,"stem","3cm",24.7,"total",58.9,"spring","2-3","diff"
"1166","2799","ACRU","103","March",2014,"stem","3cm",19.8,"total",28.1,"spring","2-3","diff"
"1167","2800","ACRU","105","March",2014,"stem","3cm",31.9,"total",34.4,"spring","2-3","diff"
"1168","2801","ACRU","112","March",2014,"stem","3cm",20.4,"total",43.3,"spring","2-3","diff"
"1169","2802","ACRU","120","March",2014,"stem","3cm",27.4,"total",45.7,"spring","2-3","diff"
"1170","2803","ACRU","124","March",2014,"stem","3cm",22.2,"total",36.6,"spring","2-3","diff"
"1171","2804","BEPA","106","March",2014,"stem","3cm",16.1,"total",29.2,"spring","2-3","diff"
"1172","2805","BEPA","110","March",2014,"stem","3cm",14.5,"total",61.4,"spring","2-3","diff"
"1173","2806","BEPA","113","March",2014,"stem","3cm",13.6,"total",37.7,"spring","2-3","diff"
"1189","2822","ACRU","102","March",2014,"stem","4cm",42.8,"total",54,"spring","3-4","diff"
"1190","2823","ACRU","103","March",2014,"stem","4cm",15.6,"total",24.1,"spring","3-4","diff"
"1191","2824","ACRU","105","March",2014,"stem","4cm",22.3,"total",30.2,"spring","3-4","diff"
"1192","2825","ACRU","112","March",2014,"stem","4cm",14.1,"total",38.8,"spring","3-4","diff"
"1193","2826","ACRU","120","March",2014,"stem","4cm",20.1,"total",41.1,"spring","3-4","diff"
"1194","2827","ACRU","124","March",2014,"stem","4cm",17.3,"total",32.3,"spring","3-4","diff"
"1195","2828","BEPA","106","March",2014,"stem","4cm",12.2,"total",25.1,"spring","3-4","diff"
"1196","2829","BEPA","110","March",2014,"stem","4cm",13.8,"total",56.4,"spring","3-4","diff"
"1197","2830","BEPA","113","March",2014,"stem","4cm",15.8,"total",33.4,"spring","3-4","diff"
"1213","2846","ACRU","102","May",2014,"stem","1cm",14.1,"total",69.1,"spring","0-1","diff"
"1214","2847","ACRU","103","May",2014,"stem","1cm",7.3,"total",36.6,"spring","0-1","diff"
"1215","2848","ACRU","105","May",2014,"stem","1cm",12.6,"total",43.3,"spring","0-1","diff"
"1216","2849","ACRU","112","May",2014,"stem","1cm",8.1,"total",52.8,"spring","0-1","diff"
"1217","2850","ACRU","120","May",2014,"stem","1cm",11,"total",55.2,"spring","0-1","diff"
"1218","2851","ACRU","124","May",2014,"stem","1cm",10.9,"total",45.7,"spring","0-1","diff"
"1219","2852","BEPA","106","May",2014,"stem","1cm",6.8,"total",37.7,"spring","0-1","diff"
"1220","2853","BEPA","110","May",2014,"stem","1cm",9.1,"total",71.7,"spring","0-1","diff"
"1221","2854","BEPA","113","May",2014,"stem","1cm",5.8,"total",46.8,"spring","0-1","diff"
"1237","2870","ACRU","102","May",2014,"stem","2cm",16.2,"total",64,"spring","1-2","diff"
"1238","2871","ACRU","103","May",2014,"stem","2cm",9.3,"total",32.3,"spring","1-2","diff"
"1239","2872","ACRU","105","May",2014,"stem","2cm",15.7,"total",38.8,"spring","1-2","diff"
"1240","2873","ACRU","112","May",2014,"stem","2cm",11.5,"total",48,"spring","1-2","diff"
"1241","2874","ACRU","120","May",2014,"stem","2cm",12.5,"total",50.4,"spring","1-2","diff"
"1242","2875","ACRU","124","May",2014,"stem","2cm",13.6,"total",41.1,"spring","1-2","diff"
"1243","2876","BEPA","106","May",2014,"stem","2cm",7.6,"total",33.4,"spring","1-2","diff"
"1244","2877","BEPA","110","May",2014,"stem","2cm",14.3,"total",66.5,"spring","1-2","diff"
"1245","2878","BEPA","113","May",2014,"stem","2cm",7.9,"total",42.2,"spring","1-2","diff"
"1261","2894","ACRU","102","May",2014,"stem","3cm",12.4,"total",58.9,"spring","2-3","diff"
"1262","2895","ACRU","103","May",2014,"stem","3cm",7.2,"total",28.1,"spring","2-3","diff"
"1263","2896","ACRU","105","May",2014,"stem","3cm",10.2,"total",34.4,"spring","2-3","diff"
"1264","2897","ACRU","112","May",2014,"stem","3cm",7,"total",43.3,"spring","2-3","diff"
"1265","2898","ACRU","120","May",2014,"stem","3cm",19.4,"total",45.7,"spring","2-3","diff"
"1266","2899","ACRU","124","May",2014,"stem","3cm",9.9,"total",36.6,"spring","2-3","diff"
"1267","2900","BEPA","106","May",2014,"stem","3cm",4.5,"total",29.2,"spring","2-3","diff"
"1268","2901","BEPA","110","May",2014,"stem","3cm",7.7,"total",61.4,"spring","2-3","diff"
"1269","2902","BEPA","113","May",2014,"stem","3cm",6.2,"total",37.7,"spring","2-3","diff"
"1285","2918","ACRU","102","May",2014,"stem","4cm",12.2,"total",54,"spring","3-4","diff"
"1286","2919","ACRU","103","May",2014,"stem","4cm",8.5,"total",24.1,"spring","3-4","diff"
"1287","2920","ACRU","105","May",2014,"stem","4cm",8.5,"total",30.2,"spring","3-4","diff"
"1288","2921","ACRU","112","May",2014,"stem","4cm",7,"total",38.8,"spring","3-4","diff"
"1289","2922","ACRU","120","May",2014,"stem","4cm",12.1,"total",41.1,"spring","3-4","diff"
"1290","2923","ACRU","124","May",2014,"stem","4cm",9.9,"total",32.3,"spring","3-4","diff"
"1291","2924","BEPA","106","May",2014,"stem","4cm",7.4,"total",25.1,"spring","3-4","diff"
"1292","2925","BEPA","110","May",2014,"stem","4cm",6.3,"total",56.4,"spring","3-4","diff"
"1293","2926","BEPA","113","May",2014,"stem","4cm",5.5,"total",33.4,"spring","3-4","diff"
"1309","2990","ACRU","102","July",2014,"stem","3cm",10.9,"total",58.9,"summer","2-3","diff"
"1310","2991","ACRU","103","July",2014,"stem","3cm",8.4,"total",28.1,"summer","2-3","diff"
"1311","2992","ACRU","105","July",2014,"stem","3cm",8.5,"total",34.4,"summer","2-3","diff"
"1312","2993","ACRU","112","July",2014,"stem","3cm",9.3,"total",43.3,"summer","2-3","diff"
"1313","2994","ACRU","120","July",2014,"stem","3cm",8.3,"total",45.7,"summer","2-3","diff"
"1314","2995","ACRU","124","July",2014,"stem","3cm",10.2,"total",36.6,"summer","2-3","diff"
"1315","2996","BEPA","106","July",2014,"stem","3cm",6.3,"total",29.2,"summer","2-3","diff"
"1316","2997","BEPA","110","July",2014,"stem","3cm",6.3,"total",61.4,"summer","2-3","diff"
"1317","2998","BEPA","113","July",2014,"stem","3cm",6,"total",37.7,"summer","2-3","diff"
"1333","3014","ACRU","102","July",2014,"stem","4cm",12.6,"total",54,"summer","3-4","diff"
"1334","3015","ACRU","103","July",2014,"stem","4cm",6.1,"total",24.1,"summer","3-4","diff"
"1335","3016","ACRU","105","July",2014,"stem","4cm",8.8,"total",30.2,"summer","3-4","diff"
"1336","3017","ACRU","112","July",2014,"stem","4cm",9.2,"total",38.8,"summer","3-4","diff"
"1337","3018","ACRU","120","July",2014,"stem","4cm",9.7,"total",41.1,"summer","3-4","diff"
"1338","3019","ACRU","124","July",2014,"stem","4cm",11.4,"total",32.3,"summer","3-4","diff"
"1339","3020","BEPA","106","July",2014,"stem","4cm",11.6,"total",25.1,"summer","3-4","diff"
"1340","3021","BEPA","110","July",2014,"stem","4cm",5.6,"total",56.4,"summer","3-4","diff"
"1341","3022","BEPA","113","July",2014,"stem","4cm",9.4,"total",33.4,"summer","3-4","diff"
"1357","3038","ACRU","102","September",2014,"stem","1cm",60.9,"total",69.1,"autumn","0-1","diff"
"1358","3039","ACRU","103","September",2014,"stem","1cm",37.9,"total",36.6,"autumn","0-1","diff"
"1359","3040","ACRU","105","September",2014,"stem","1cm",35.3,"total",43.3,"autumn","0-1","diff"
"1360","3041","ACRU","112","September",2014,"stem","1cm",31.7,"total",52.8,"autumn","0-1","diff"
"1361","3042","ACRU","120","September",2014,"stem","1cm",45.7,"total",55.2,"autumn","0-1","diff"
"1362","3043","ACRU","124","September",2014,"stem","1cm",36,"total",45.7,"autumn","0-1","diff"
"1363","3044","BEPA","106","September",2014,"stem","1cm",13.7,"total",37.7,"autumn","0-1","diff"
"1364","3045","BEPA","110","September",2014,"stem","1cm",16.6,"total",71.7,"autumn","0-1","diff"
"1365","3046","BEPA","113","September",2014,"stem","1cm",15.8,"total",46.8,"autumn","0-1","diff"
"1381","3062","ACRU","102","September",2014,"stem","2cm",46.3,"total",64,"autumn","1-2","diff"
"1382","3063","ACRU","103","September",2014,"stem","2cm",10.7,"total",32.3,"autumn","1-2","diff"
"1383","3064","ACRU","105","September",2014,"stem","2cm",26.6,"total",38.8,"autumn","1-2","diff"
"1384","3065","ACRU","112","September",2014,"stem","2cm",18.6,"total",48,"autumn","1-2","diff"
"1385","3066","ACRU","120","September",2014,"stem","2cm",33.6,"total",50.4,"autumn","1-2","diff"
"1386","3067","ACRU","124","September",2014,"stem","2cm",31.8,"total",41.1,"autumn","1-2","diff"
"1387","3068","BEPA","106","September",2014,"stem","2cm",12.4,"total",33.4,"autumn","1-2","diff"
"1388","3069","BEPA","110","September",2014,"stem","2cm",9.7,"total",66.5,"autumn","1-2","diff"
"1389","3070","BEPA","113","September",2014,"stem","2cm",10.9,"total",42.2,"autumn","1-2","diff"
"1405","3086","ACRU","102","September",2014,"stem","3cm",11.8,"total",58.9,"autumn","2-3","diff"
"1406","3087","ACRU","103","September",2014,"stem","3cm",8.4,"total",28.1,"autumn","2-3","diff"
"1407","3088","ACRU","105","September",2014,"stem","3cm",8,"total",34.4,"autumn","2-3","diff"
"1408","3089","ACRU","112","September",2014,"stem","3cm",10.1,"total",43.3,"autumn","2-3","diff"
"1409","3090","ACRU","120","September",2014,"stem","3cm",5.1,"total",45.7,"autumn","2-3","diff"
"1410","3091","ACRU","124","September",2014,"stem","3cm",9.6,"total",36.6,"autumn","2-3","diff"
"1411","3092","BEPA","106","September",2014,"stem","3cm",5.9,"total",29.2,"autumn","2-3","diff"
"1412","3093","BEPA","110","September",2014,"stem","3cm",7.5,"total",61.4,"autumn","2-3","diff"
"1413","3094","BEPA","113","September",2014,"stem","3cm",20.5,"total",37.7,"autumn","2-3","diff"
"1429","3110","ACRU","102","September",2014,"stem","4cm",13,"total",54,"autumn","3-4","diff"
"1430","3111","ACRU","103","September",2014,"stem","4cm",9.6,"total",24.1,"autumn","3-4","diff"
