"","species","tag","organ","increment","age","wood"
"98","QURU","104","stem","S1",2.28,"ring"
"99","QURU","104","stem","S3",4.95,"ring"
"100","QURU","104","stem","S4",11.58,"ring"
"101","QURU","107","fine root","fine root",8.73,"ring"
"102","QURU","107","branch","branch",1.95,"ring"
"103","QURU","107","root","R2",22.78,"ring"
"104","QURU","107","root","R1",13.25,"ring"
"105","QURU","107","root","R3",32.45,"ring"
"106","QURU","107","root","R4",32.5,"ring"
"107","QURU","107","stem","S2",1.53,"ring"
"108","QURU","107","stem","S1",0,"ring"
"109","QURU","107","stem","S3",3.33,"ring"
"110","QURU","107","stem","S4",8.4,"ring"
"111","QURU","109","fine root","fine root",0,"ring"
"112","QURU","109","branch","branch",1.16,"ring"
"113","QURU","109","root","R2",2.09,"ring"
"114","QURU","109","root","R1",1.21,"ring"
"115","QURU","109","root","R3",3.17,"ring"
"116","QURU","109","root","R4",4.41,"ring"
"117","QURU","109","stem","S2",15.3,"ring"
"118","QURU","109","stem","S1",0.81,"ring"
"119","QURU","109","stem","S3",5.45,"ring"
"120","QURU","109","stem","S4",9.78,"ring"
