"","ADR","species","tag","month","year","tissue","stage","conc","method","biomass_kg","season","increment","wood"
"354","1166","QURU","109","July",2014,"stem","2cm",25.6,"total",97.7,"summer","1-2","ring"
"355","1167","QURU","115","July",2014,"stem","1cm",31.5,"total",53.5,"summer","0-1","ring"
"356","1168","QURU","115","July",2014,"stem","2cm",13.3,"total",47.9,"summer","1-2","ring"
"357","1169","QURU","117","July",2014,"stem","1cm",56.6,"total",50.7,"summer","0-1","ring"
"358","1170","QURU","117","July",2014,"stem","2cm",25.2,"total",45.2,"summer","1-2","ring"
"359","1171","QURU","118","July",2014,"stem","1cm",65.4,"total",66.8,"summer","0-1","ring"
"360","1172","QURU","118","July",2014,"stem","2cm",21.1,"total",60.8,"summer","1-2","ring"
"379","1191","FRAM","101","July",2014,"stem","1cm",38.1,"total",47.2,"summer","0-1","ring"
"380","1192","FRAM","101","July",2014,"stem","2cm",21.4,"total",42.6,"summer","1-2","ring"
"381","1193","FRAM","108","July",2014,"stem","1cm",18,"total",63.2,"summer","0-1","ring"
"382","1194","FRAM","108","July",2014,"stem","2cm",41,"total",58.1,"summer","1-2","ring"
"383","1195","FRAM","123","July",2014,"stem","1cm",50.7,"total",36,"summer","0-1","ring"
"384","1196","FRAM","123","July",2014,"stem","2cm",7.3,"total",31.8,"summer","1-2","ring"
"487","1352","QURU","104","June",2014,"stem","3cm",9.5,"total",81,"summer","2-3","ring"
"488","1353","QURU","107","June",2014,"stem","3cm",14.2,"total",81,"summer","2-3","ring"
"489","1354","QURU","109","June",2014,"stem","3cm",12.4,"total",90.9,"summer","2-3","ring"
"490","1355","QURU","115","June",2014,"stem","3cm",15.6,"total",42.5,"summer","2-3","ring"
"491","1356","QURU","117","June",2014,"stem","3cm",13.8,"total",39.8,"summer","2-3","ring"
"492","1357","QURU","118","June",2014,"stem","3cm",12.5,"total",55,"summer","2-3","ring"
"502","1367","FRAM","101","June",2014,"stem","3cm",63.5,"total",38.1,"summer","2-3","ring"
"503","1368","FRAM","108","June",2014,"stem","3cm",22.7,"total",53.2,"summer","2-3","ring"
"504","1369","FRAM","123","June",2014,"stem","3cm",24.9,"total",27.7,"summer","2-3","ring"
"535","1400","QURU","104","June",2014,"stem","4cm",35.7,"total",74.6,"summer","3-4","ring"
"536","1401","QURU","107","June",2014,"stem","4cm",19.6,"total",74.6,"summer","3-4","ring"
"537","1402","QURU","109","June",2014,"stem","4cm",23.2,"total",84.3,"summer","3-4","ring"
"538","1403","QURU","115","June",2014,"stem","4cm",30.1,"total",37.2,"summer","3-4","ring"
"539","1404","QURU","117","June",2014,"stem","4cm",29.3,"total",34.7,"summer","3-4","ring"
"540","1405","QURU","118","June",2014,"stem","4cm",29.9,"total",49.3,"summer","3-4","ring"
"550","1415","FRAM","101","June",2014,"stem","4cm",69.6,"total",33.9,"summer","3-4","ring"
"551","1416","FRAM","108","June",2014,"stem","4cm",35.7,"total",48.4,"summer","3-4","ring"
"552","1417","FRAM","123","June",2014,"stem","4cm",14.8,"total",23.9,"summer","3-4","ring"
"637","1590","QURU","104","June",2014,"stem","1cm",42.3,"total",94.3,"summer","0-1","ring"
"638","1591","QURU","104","June",2014,"stem","2cm",22.9,"total",87.6,"summer","1-2","ring"
"639","1592","QURU","107","June",2014,"stem","1cm",42.5,"total",94.3,"summer","0-1","ring"
"640","1593","QURU","107","June",2014,"stem","2cm",19.6,"total",87.6,"summer","1-2","ring"
"641","1594","QURU","109","June",2014,"stem","1cm",31.2,"total",104.7,"summer","0-1","ring"
"642","1595","QURU","109","June",2014,"stem","2cm",12.3,"total",97.7,"summer","1-2","ring"
"643","1596","QURU","115","June",2014,"stem","1cm",39.3,"total",53.5,"summer","0-1","ring"
"644","1597","QURU","115","June",2014,"stem","2cm",25.7,"total",47.9,"summer","1-2","ring"
"645","1598","QURU","117","June",2014,"stem","1cm",32.1,"total",50.7,"summer","0-1","ring"
"646","1599","QURU","117","June",2014,"stem","2cm",41.5,"total",45.2,"summer","1-2","ring"
"647","1600","QURU","118","June",2014,"stem","1cm",41.5,"total",66.8,"summer","0-1","ring"
"648","1601","QURU","118","June",2014,"stem","2cm",21.3,"total",60.8,"summer","1-2","ring"
"667","1620","FRAM","101","June",2014,"stem","1cm",29.1,"total",47.2,"summer","0-1","ring"
"668","1621","FRAM","101","June",2014,"stem","2cm",66.7,"total",42.6,"summer","1-2","ring"
"669","1622","FRAM","108","June",2014,"stem","1cm",35.2,"total",63.2,"summer","0-1","ring"
"670","1623","FRAM","108","June",2014,"stem","2cm",29.4,"total",58.1,"summer","1-2","ring"
"671","1624","FRAM","123","June",2014,"stem","1cm",39.7,"total",36,"summer","0-1","ring"
"672","1625","FRAM","123","June",2014,"stem","2cm",19.5,"total",31.8,"summer","1-2","ring"
"685","1638","QURU","104","April",2014,"stem","1cm",53.8,"total",94.3,"spring","0-1","ring"
"686","1639","QURU","104","April",2014,"stem","2cm",30.1,"total",87.6,"spring","1-2","ring"
"687","1640","QURU","107","April",2014,"stem","1cm",39.8,"total",94.3,"spring","0-1","ring"
"688","1641","QURU","107","April",2014,"stem","2cm",40.8,"total",87.6,"spring","1-2","ring"
"689","1642","QURU","109","April",2014,"stem","1cm",33.5,"total",104.7,"spring","0-1","ring"
"690","1643","QURU","109","April",2014,"stem","2cm",78.5,"total",97.7,"spring","1-2","ring"
"691","1644","QURU","115","April",2014,"stem","1cm",29.3,"total",53.5,"spring","0-1","ring"
"692","1645","QURU","115","April",2014,"stem","2cm",55.3,"total",47.9,"spring","1-2","ring"
"693","1646","QURU","117","April",2014,"stem","1cm",52.2,"total",50.7,"spring","0-1","ring"
"694","1647","QURU","117","April",2014,"stem","2cm",49,"total",45.2,"spring","1-2","ring"
"695","1648","QURU","118","April",2014,"stem","1cm",52.2,"total",66.8,"spring","0-1","ring"
"696","1649","QURU","118","April",2014,"stem","2cm",30.4,"total",60.8,"spring","1-2","ring"
"715","1668","FRAM","101","April",2014,"stem","1cm",69.8,"total",47.2,"spring","0-1","ring"
"716","1669","FRAM","101","April",2014,"stem","2cm",53.3,"total",42.6,"spring","1-2","ring"
"717","1670","FRAM","108","April",2014,"stem","1cm",55.1,"total",63.2,"spring","0-1","ring"
"718","1671","FRAM","108","April",2014,"stem","2cm",48.3,"total",58.1,"spring","1-2","ring"
"719","1672","FRAM","123","April",2014,"stem","1cm",43.4,"total",36,"spring","0-1","ring"
"720","1673","FRAM","123","April",2014,"stem","2cm",31.3,"total",31.8,"spring","1-2","ring"
"733","1686","QURU","104","August",2014,"stem","1cm",25,"total",94.3,"summer","0-1","ring"
"734","1687","QURU","104","August",2014,"stem","2cm",14.5,"total",87.6,"summer","1-2","ring"
"735","1688","QURU","107","August",2014,"stem","1cm",30.9,"total",94.3,"summer","0-1","ring"
"736","1689","QURU","107","August",2014,"stem","2cm",15,"total",87.6,"summer","1-2","ring"
"737","1690","QURU","109","August",2014,"stem","1cm",33.3,"total",104.7,"summer","0-1","ring"
"738","1691","QURU","109","August",2014,"stem","2cm",19.8,"total",97.7,"summer","1-2","ring"
"739","1692","QURU","115","August",2014,"stem","1cm",14.9,"total",53.5,"summer","0-1","ring"
"740","1693","QURU","115","August",2014,"stem","2cm",15.2,"total",47.9,"summer","1-2","ring"
"741","1694","QURU","117","August",2014,"stem","1cm",31.5,"total",50.7,"summer","0-1","ring"
"742","1695","QURU","117","August",2014,"stem","2cm",11.5,"total",45.2,"summer","1-2","ring"
"743","1696","QURU","118","August",2014,"stem","1cm",54.6,"total",66.8,"summer","0-1","ring"
"744","1697","QURU","118","August",2014,"stem","2cm",18.4,"total",60.8,"summer","1-2","ring"
"763","1716","FRAM","101","August",2014,"stem","1cm",38.9,"total",47.2,"summer","0-1","ring"
"764","1717","FRAM","101","August",2014,"stem","2cm",22,"total",42.6,"summer","1-2","ring"
"765","1718","FRAM","108","August",2014,"stem","1cm",28.5,"total",63.2,"summer","0-1","ring"
"766","1719","FRAM","108","August",2014,"stem","2cm",32.5,"total",58.1,"summer","1-2","ring"
"767","1720","FRAM","123","August",2014,"stem","1cm",43.5,"total",36,"summer","0-1","ring"
"768","1721","FRAM","123","August",2014,"stem","2cm",20.4,"total",31.8,"summer","1-2","ring"
"781","1734","QURU","104","October",2014,"stem","1cm",46.5,"total",94.3,"autumn","0-1","ring"
"782","1735","QURU","104","October",2014,"stem","2cm",36.4,"total",87.6,"autumn","1-2","ring"
"783","1736","QURU","107","October",2014,"stem","1cm",48.6,"total",94.3,"autumn","0-1","ring"
"784","1737","QURU","107","October",2014,"stem","2cm",11.6,"total",87.6,"autumn","1-2","ring"
"785","1738","QURU","109","October",2014,"stem","1cm",43.4,"total",104.7,"autumn","0-1","ring"
"786","1739","QURU","109","October",2014,"stem","2cm",66,"total",97.7,"autumn","1-2","ring"
"787","1740","QURU","115","October",2014,"stem","1cm",54.4,"total",53.5,"autumn","0-1","ring"
"788","1741","QURU","115","October",2014,"stem","2cm",15.2,"total",47.9,"autumn","1-2","ring"
"789","1742","QURU","117","October",2014,"stem","1cm",32.2,"total",50.7,"autumn","0-1","ring"
"790","1743","QURU","117","October",2014,"stem","2cm",39.7,"total",45.2,"autumn","1-2","ring"
"791","1744","QURU","118","October",2014,"stem","1cm",53,"total",66.8,"autumn","0-1","ring"
"792","1745","QURU","118","October",2014,"stem","2cm",16.6,"total",60.8,"autumn","1-2","ring"
"811","1764","FRAM","101","October",2014,"stem","1cm",84,"total",47.2,"autumn","0-1","ring"
"812","1765","FRAM","101","October",2014,"stem","2cm",62.4,"total",42.6,"autumn","1-2","ring"
"813","1766","FRAM","108","October",2014,"stem","1cm",68,"total",63.2,"autumn","0-1","ring"
"814","1767","FRAM","108","October",2014,"stem","2cm",40.5,"total",58.1,"autumn","1-2","ring"
"815","1768","FRAM","123","October",2014,"stem","1cm",59,"total",36,"autumn","0-1","ring"
"816","1769","FRAM","123","October",2014,"stem","2cm",56.2,"total",31.8,"autumn","1-2","ring"
"1015","2648","QURU","104","February",2014,"stem","1cm",52.6,"total",94.3,"winter","0-1","ring"
"1016","2649","QURU","107","February",2014,"stem","1cm",66.7,"total",94.3,"winter","0-1","ring"
"1017","2650","QURU","109","February",2014,"stem","1cm",68.2,"total",104.7,"winter","0-1","ring"
"1018","2651","QURU","115","February",2014,"stem","1cm",68,"total",53.5,"winter","0-1","ring"
"1019","2652","QURU","117","February",2014,"stem","1cm",59.8,"total",50.7,"winter","0-1","ring"
"1020","2653","QURU","118","February",2014,"stem","1cm",71.5,"total",66.8,"winter","0-1","ring"
"1030","2663","FRAM","101","February",2014,"stem","1cm",46.4,"total",47.2,"winter","0-1","ring"
"1031","2664","FRAM","108","February",2014,"stem","1cm",39.5,"total",63.2,"winter","0-1","ring"
"1032","2665","FRAM","123","February",2014,"stem","1cm",50.3,"total",36,"winter","0-1","ring"
"1039","2672","QURU","104","February",2014,"stem","2cm",27,"total",87.6,"winter","1-2","ring"
"1040","2673","QURU","107","February",2014,"stem","2cm",26.6,"total",87.6,"winter","1-2","ring"
"1041","2674","QURU","109","February",2014,"stem","2cm",21.6,"total",97.7,"winter","1-2","ring"
"1042","2675","QURU","115","February",2014,"stem","2cm",20.1,"total",47.9,"winter","1-2","ring"
"1043","2676","QURU","117","February",2014,"stem","2cm",21,"total",45.2,"winter","1-2","ring"
"1044","2677","QURU","118","February",2014,"stem","2cm",36.4,"total",60.8,"winter","1-2","ring"
"1054","2687","FRAM","101","February",2014,"stem","2cm",28.1,"total",42.6,"winter","1-2","ring"
"1055","2688","FRAM","108","February",2014,"stem","2cm",39.4,"total",58.1,"winter","1-2","ring"
"1056","2689","FRAM","123","February",2014,"stem","2cm",29.3,"total",31.8,"winter","1-2","ring"
"1063","2696","QURU","104","February",2014,"stem","3cm",13.5,"total",81,"winter","2-3","ring"
"1064","2697","QURU","107","February",2014,"stem","3cm",14.2,"total",81,"winter","2-3","ring"
"1065","2698","QURU","109","February",2014,"stem","3cm",10.6,"total",90.9,"winter","2-3","ring"
"1066","2699","QURU","115","February",2014,"stem","3cm",12.6,"total",42.5,"winter","2-3","ring"
"1067","2700","QURU","117","February",2014,"stem","3cm",15.8,"total",39.8,"winter","2-3","ring"
"1068","2701","QURU","118","February",2014,"stem","3cm",12.3,"total",55,"winter","2-3","ring"
"1078","2711","FRAM","101","February",2014,"stem","3cm",18,"total",38.1,"winter","2-3","ring"
"1079","2712","FRAM","108","February",2014,"stem","3cm",43.1,"total",53.2,"winter","2-3","ring"
"1080","2713","FRAM","123","February",2014,"stem","3cm",26.6,"total",27.7,"winter","2-3","ring"
"1087","2720","QURU","104","February",2014,"stem","4cm",13.2,"total",74.6,"winter","3-4","ring"
"1088","2721","QURU","107","February",2014,"stem","4cm",14.4,"total",74.6,"winter","3-4","ring"
"1089","2722","QURU","109","February",2014,"stem","4cm",14.5,"total",84.3,"winter","3-4","ring"
"1090","2723","QURU","115","February",2014,"stem","4cm",24.1,"total",37.2,"winter","3-4","ring"
"1091","2724","QURU","117","February",2014,"stem","4cm",17.6,"total",34.7,"winter","3-4","ring"
"1092","2725","QURU","118","February",2014,"stem","4cm",13.6,"total",49.3,"winter","3-4","ring"
"1102","2735","FRAM","101","February",2014,"stem","4cm",14.4,"total",33.9,"winter","3-4","ring"
"1103","2736","FRAM","108","February",2014,"stem","4cm",35,"total",48.4,"winter","3-4","ring"
"1104","2737","FRAM","123","February",2014,"stem","4cm",23.7,"total",23.9,"winter","3-4","ring"
"1111","2744","QURU","104","March",2014,"stem","1cm",27.4,"total",94.3,"spring","0-1","ring"
"1112","2745","QURU","107","March",2014,"stem","1cm",30.8,"total",94.3,"spring","0-1","ring"
"1113","2746","QURU","109","March",2014,"stem","1cm",48.7,"total",104.7,"spring","0-1","ring"
"1114","2747","QURU","115","March",2014,"stem","1cm",28.6,"total",53.5,"spring","0-1","ring"
"1115","2748","QURU","117","March",2014,"stem","1cm",36,"total",50.7,"spring","0-1","ring"
"1116","2749","QURU","118","March",2014,"stem","1cm",36,"total",66.8,"spring","0-1","ring"
"1126","2759","FRAM","101","March",2014,"stem","1cm",41.9,"total",47.2,"spring","0-1","ring"
"1127","2760","FRAM","108","March",2014,"stem","1cm",32.9,"total",63.2,"spring","0-1","ring"
"1128","2761","FRAM","123","March",2014,"stem","1cm",41.9,"total",36,"spring","0-1","ring"
"1135","2768","QURU","104","March",2014,"stem","2cm",22.3,"total",87.6,"spring","1-2","ring"
"1136","2769","QURU","107","March",2014,"stem","2cm",13.8,"total",87.6,"spring","1-2","ring"
"1137","2770","QURU","109","March",2014,"stem","2cm",20.5,"total",97.7,"spring","1-2","ring"
"1138","2771","QURU","115","March",2014,"stem","2cm",14.1,"total",47.9,"spring","1-2","ring"
"1139","2772","QURU","117","March",2014,"stem","2cm",25.3,"total",45.2,"spring","1-2","ring"
"1140","2773","QURU","118","March",2014,"stem","2cm",20.9,"total",60.8,"spring","1-2","ring"
"1150","2783","FRAM","101","March",2014,"stem","2cm",28.1,"total",42.6,"spring","1-2","ring"
"1151","2784","FRAM","108","March",2014,"stem","2cm",33.4,"total",58.1,"spring","1-2","ring"
"1152","2785","FRAM","123","March",2014,"stem","2cm",26.1,"total",31.8,"spring","1-2","ring"
"1159","2792","QURU","104","March",2014,"stem","3cm",14.7,"total",81,"spring","2-3","ring"
"1160","2793","QURU","107","March",2014,"stem","3cm",13,"total",81,"spring","2-3","ring"
"1161","2794","QURU","109","March",2014,"stem","3cm",15.2,"total",90.9,"spring","2-3","ring"
"1162","2795","QURU","115","March",2014,"stem","3cm",16.4,"total",42.5,"spring","2-3","ring"
"1163","2796","QURU","117","March",2014,"stem","3cm",15.6,"total",39.8,"spring","2-3","ring"
"1164","2797","QURU","118","March",2014,"stem","3cm",15.1,"total",55,"spring","2-3","ring"
"1174","2807","FRAM","101","March",2014,"stem","3cm",30.1,"total",38.1,"spring","2-3","ring"
"1175","2808","FRAM","108","March",2014,"stem","3cm",36.5,"total",53.2,"spring","2-3","ring"
"1176","2809","FRAM","123","March",2014,"stem","3cm",23.9,"total",27.7,"spring","2-3","ring"
"1183","2816","QURU","104","March",2014,"stem","4cm",14.3,"total",74.6,"spring","3-4","ring"
"1184","2817","QURU","107","March",2014,"stem","4cm",12.6,"total",74.6,"spring","3-4","ring"
"1185","2818","QURU","109","March",2014,"stem","4cm",17.2,"total",84.3,"spring","3-4","ring"
"1186","2819","QURU","115","March",2014,"stem","4cm",14.4,"total",37.2,"spring","3-4","ring"
"1187","2820","QURU","117","March",2014,"stem","4cm",15.5,"total",34.7,"spring","3-4","ring"
"1188","2821","QURU","118","March",2014,"stem","4cm",17.2,"total",49.3,"spring","3-4","ring"
"1198","2831","FRAM","101","March",2014,"stem","4cm",15.6,"total",33.9,"spring","3-4","ring"
"1199","2832","FRAM","108","March",2014,"stem","4cm",31.2,"total",48.4,"spring","3-4","ring"
"1200","2833","FRAM","123","March",2014,"stem","4cm",19.6,"total",23.9,"spring","3-4","ring"
"1207","2840","QURU","104","May",2014,"stem","1cm",18.8,"total",94.3,"spring","0-1","ring"
"1208","2841","QURU","107","May",2014,"stem","1cm",12.5,"total",94.3,"spring","0-1","ring"
"1209","2842","QURU","109","May",2014,"stem","1cm",23.1,"total",104.7,"spring","0-1","ring"
"1210","2843","QURU","115","May",2014,"stem","1cm",20.7,"total",53.5,"spring","0-1","ring"
"1211","2844","QURU","117","May",2014,"stem","1cm",18.5,"total",50.7,"spring","0-1","ring"
"1212","2845","QURU","118","May",2014,"stem","1cm",19.3,"total",66.8,"spring","0-1","ring"
"1222","2855","FRAM","101","May",2014,"stem","1cm",23.7,"total",47.2,"spring","0-1","ring"
"1223","2856","FRAM","108","May",2014,"stem","1cm",17.7,"total",63.2,"spring","0-1","ring"
"1224","2857","FRAM","123","May",2014,"stem","1cm",21.8,"total",36,"spring","0-1","ring"
"1231","2864","QURU","104","May",2014,"stem","2cm",13.8,"total",87.6,"spring","1-2","ring"
"1232","2865","QURU","107","May",2014,"stem","2cm",15.4,"total",87.6,"spring","1-2","ring"
"1233","2866","QURU","109","May",2014,"stem","2cm",19,"total",97.7,"spring","1-2","ring"
"1234","2867","QURU","115","May",2014,"stem","2cm",22.4,"total",47.9,"spring","1-2","ring"
"1235","2868","QURU","117","May",2014,"stem","2cm",16.2,"total",45.2,"spring","1-2","ring"
"1236","2869","QURU","118","May",2014,"stem","2cm",13.7,"total",60.8,"spring","1-2","ring"
"1246","2879","FRAM","101","May",2014,"stem","2cm",24.2,"total",42.6,"spring","1-2","ring"
"1247","2880","FRAM","108","May",2014,"stem","2cm",21.6,"total",58.1,"spring","1-2","ring"
"1248","2881","FRAM","123","May",2014,"stem","2cm",24.7,"total",31.8,"spring","1-2","ring"
"1255","2888","QURU","104","May",2014,"stem","3cm",12.1,"total",81,"spring","2-3","ring"
"1256","2889","QURU","107","May",2014,"stem","3cm",10.6,"total",81,"spring","2-3","ring"
"1257","2890","QURU","109","May",2014,"stem","3cm",13,"total",90.9,"spring","2-3","ring"
"1258","2891","QURU","115","May",2014,"stem","3cm",7.9,"total",42.5,"spring","2-3","ring"
"1259","2892","QURU","117","May",2014,"stem","3cm",13.7,"total",39.8,"spring","2-3","ring"
"1260","2893","QURU","118","May",2014,"stem","3cm",15.3,"total",55,"spring","2-3","ring"
"1270","2903","FRAM","101","May",2014,"stem","3cm",17.8,"total",38.1,"spring","2-3","ring"
"1271","2904","FRAM","108","May",2014,"stem","3cm",22.4,"total",53.2,"spring","2-3","ring"
"1272","2905","FRAM","123","May",2014,"stem","3cm",11.7,"total",27.7,"spring","2-3","ring"
"1279","2912","QURU","104","May",2014,"stem","4cm",13.3,"total",74.6,"spring","3-4","ring"
"1280","2913","QURU","107","May",2014,"stem","4cm",13.2,"total",74.6,"spring","3-4","ring"
"1281","2914","QURU","109","May",2014,"stem","4cm",22.2,"total",84.3,"spring","3-4","ring"
"1282","2915","QURU","115","May",2014,"stem","4cm",12.3,"total",37.2,"spring","3-4","ring"
"1283","2916","QURU","117","May",2014,"stem","4cm",13.1,"total",34.7,"spring","3-4","ring"
"1284","2917","QURU","118","May",2014,"stem","4cm",11.3,"total",49.3,"spring","3-4","ring"
"1294","2927","FRAM","101","May",2014,"stem","4cm",11.2,"total",33.9,"spring","3-4","ring"
"1295","2928","FRAM","108","May",2014,"stem","4cm",16.9,"total",48.4,"spring","3-4","ring"
"1296","2929","FRAM","123","May",2014,"stem","4cm",12.8,"total",23.9,"spring","3-4","ring"
"1303","2984","QURU","104","July",2014,"stem","3cm",14.2,"total",81,"summer","2-3","ring"
"1304","2985","QURU","107","July",2014,"stem","3cm",15.1,"total",81,"summer","2-3","ring"
"1305","2986","QURU","109","July",2014,"stem","3cm",18.6,"total",90.9,"summer","2-3","ring"
"1306","2987","QURU","115","July",2014,"stem","3cm",17.5,"total",42.5,"summer","2-3","ring"
"1307","2988","QURU","117","July",2014,"stem","3cm",14.6,"total",39.8,"summer","2-3","ring"
"1308","2989","QURU","118","July",2014,"stem","3cm",16.9,"total",55,"summer","2-3","ring"
"1318","2999","FRAM","101","July",2014,"stem","3cm",24.5,"total",38.1,"summer","2-3","ring"
"1319","3000","FRAM","108","July",2014,"stem","3cm",22.5,"total",53.2,"summer","2-3","ring"
"1320","3001","FRAM","123","July",2014,"stem","3cm",20.9,"total",27.7,"summer","2-3","ring"
"1327","3008","QURU","104","July",2014,"stem","4cm",14.7,"total",74.6,"summer","3-4","ring"
"1328","3009","QURU","107","July",2014,"stem","4cm",17.2,"total",74.6,"summer","3-4","ring"
"1329","3010","QURU","109","July",2014,"stem","4cm",14.5,"total",84.3,"summer","3-4","ring"
"1330","3011","QURU","115","July",2014,"stem","4cm",14.9,"total",37.2,"summer","3-4","ring"
"1331","3012","QURU","117","July",2014,"stem","4cm",16.1,"total",34.7,"summer","3-4","ring"
"1332","3013","QURU","118","July",2014,"stem","4cm",17.8,"total",49.3,"summer","3-4","ring"
"1342","3023","FRAM","101","July",2014,"stem","4cm",12.3,"total",33.9,"summer","3-4","ring"
"1343","3024","FRAM","108","July",2014,"stem","4cm",23.5,"total",48.4,"summer","3-4","ring"
"1344","3025","FRAM","123","July",2014,"stem","4cm",16.7,"total",23.9,"summer","3-4","ring"
"1351","3032","QURU","104","September",2014,"stem","1cm",81.9,"total",94.3,"autumn","0-1","ring"
"1352","3033","QURU","107","September",2014,"stem","1cm",53.1,"total",94.3,"autumn","0-1","ring"
"1353","3034","QURU","109","September",2014,"stem","1cm",85.6,"total",104.7,"autumn","0-1","ring"
"1354","3035","QURU","115","September",2014,"stem","1cm",32.4,"total",53.5,"autumn","0-1","ring"
"1355","3036","QURU","117","September",2014,"stem","1cm",54.4,"total",50.7,"autumn","0-1","ring"
"1356","3037","QURU","118","September",2014,"stem","1cm",71.7,"total",66.8,"autumn","0-1","ring"
"1366","3047","FRAM","101","September",2014,"stem","1cm",43.9,"total",47.2,"autumn","0-1","ring"
"1367","3048","FRAM","108","September",2014,"stem","1cm",27.1,"total",63.2,"autumn","0-1","ring"
"1368","3049","FRAM","123","September",2014,"stem","1cm",67.4,"total",36,"autumn","0-1","ring"
"1375","3056","QURU","104","September",2014,"stem","2cm",33.7,"total",87.6,"autumn","1-2","ring"
"1376","3057","QURU","107","September",2014,"stem","2cm",20,"total",87.6,"autumn","1-2","ring"
"1377","3058","QURU","109","September",2014,"stem","2cm",19.4,"total",97.7,"autumn","1-2","ring"
"1378","3059","QURU","115","September",2014,"stem","2cm",12.4,"total",47.9,"autumn","1-2","ring"
"1379","3060","QURU","117","September",2014,"stem","2cm",92.9,"total",45.2,"autumn","1-2","ring"
"1380","3061","QURU","118","September",2014,"stem","2cm",30.8,"total",60.8,"autumn","1-2","ring"
"1390","3071","FRAM","101","September",2014,"stem","2cm",32.6,"total",42.6,"autumn","1-2","ring"
"1391","3072","FRAM","108","September",2014,"stem","2cm",78.4,"total",58.1,"autumn","1-2","ring"
"1392","3073","FRAM","123","September",2014,"stem","2cm",30.8,"total",31.8,"autumn","1-2","ring"
"1399","3080","QURU","104","September",2014,"stem","3cm",11.3,"total",81,"autumn","2-3","ring"
"1400","3081","QURU","107","September",2014,"stem","3cm",9.7,"total",81,"autumn","2-3","ring"
"1401","3082","QURU","109","September",2014,"stem","3cm",14.9,"total",90.9,"autumn","2-3","ring"
"1402","3083","QURU","115","September",2014,"stem","3cm",11.2,"total",42.5,"autumn","2-3","ring"
"1403","3084","QURU","117","September",2014,"stem","3cm",13.2,"total",39.8,"autumn","2-3","ring"
"1404","3085","QURU","118","September",2014,"stem","3cm",14.1,"total",55,"autumn","2-3","ring"
"1414","3095","FRAM","101","September",2014,"stem","3cm",15.5,"total",38.1,"autumn","2-3","ring"
"1415","3096","FRAM","108","September",2014,"stem","3cm",18.7,"total",53.2,"autumn","2-3","ring"
"1416","3097","FRAM","123","September",2014,"stem","3cm",14,"total",27.7,"autumn","2-3","ring"
"1423","3104","QURU","104","September",2014,"stem","4cm",19.8,"total",74.6,"autumn","3-4","ring"
"1424","3105","QURU","107","September",2014,"stem","4cm",16.2,"total",74.6,"autumn","3-4","ring"
"1425","3106","QURU","109","September",2014,"stem","4cm",17.7,"total",84.3,"autumn","3-4","ring"
"1426","3107","QURU","115","September",2014,"stem","4cm",16.3,"total",37.2,"autumn","3-4","ring"
"1427","3108","QURU","117","September",2014,"stem","4cm",15.7,"total",34.7,"autumn","3-4","ring"
"1428","3109","QURU","118","September",2014,"stem","4cm",16.1,"total",49.3,"autumn","3-4","ring"
